Rank,Name,Server,Region,Date,Duration,ReportID,ReportLink,HPS,HasteSummary,HasteGear,Spirit,Intellect,TotalHealers,nDruid,nPaladin,nHPriest,nDPriest,nShaman,RaidDamageTakenPerSecond,VampiricTouch,InnervateCount,Bloodlust,NaturesGrace,Trinket1,Trinket2,LifebloomUptime,LifebloomHPS,LifebloomPercentHPS,RejuvenationHPS,RejuvenationPercentHPS,RegrowthHPS,RegrowthPercentHPS,Rotation1,Rotation1Percent,Rotation2,Rotation2Percent,TankRotationPercent,RotatingOnTank
1,四大名补无情,辛洛斯,CN,2022-08-02 08:19:02,2m 50s,wWc4Cj7GptxqarF1,https://classic.warcraftlogs.com/reports/wWc4Cj7GptxqarF1?fight=31&source=24&type=healing,3868.79,474,474,772,655,6,1,1,1,1,2,8941.54,Yes,2,No,Yes,Darkmoon Card: Blue Dragon,Shifting Naaru Sliver,5.48,28.76,0.74,6.07,0.16,3714.05,96.0,[0LB 0I 5RG],76.92,[0LB 1I 4RG],11.54,0.0,No
2,氢硫化钠,奥罗,CN,2022-07-18 09:18:35,2m 53s,ZgMwBWX6rc1TzvnV,https://classic.warcraftlogs.com/reports/ZgMwBWX6rc1TzvnV?fight=41&source=21&type=healing,3531.2,488,488,691,660,6,1,1,0,1,3,10569.97,Yes,2,No,Yes,Redeemer's Alchemist Stone,Shifting Naaru Sliver,16.43,127.35,3.61,0,0.0,3221.66,91.23,[0LB 0I 5RG],53.57,[0LB 1I 4RG],17.86,7.14,No
3,一杯马爹利,雷霆之击,CN,2022-08-09 03:00:15,3m 43s,katpfD9j8X1Q3hbF,https://classic.warcraftlogs.com/reports/katpfD9j8X1Q3hbF?fight=33&source=1&type=healing,3412.6,267,267,815,661,6,1,1,1,1,2,10176.38,Yes,1,No,Yes,Redeemer's Alchemist Stone,Essence of the Martyr,72.51,580.86,17.02,28.58,0.84,2642.47,77.43,[1LB 0I 3RG],23.68,[0LB 0I 5RG],10.53,63.16,No
4,台式排骨大王,卓越,CN,2022-08-01 09:59:43,2m 35s,vBxkazWP3VmNyRG8,https://classic.warcraftlogs.com/reports/vBxkazWP3VmNyRG8?fight=35&source=10&type=healing,3388.65,413,413,781,680,5,1,1,0,1,2,9763.51,Yes,1,No,Yes,Memento of Tyrande,Redeemer's Alchemist Stone,19.51,79.29,2.34,59.93,1.77,3156.13,93.14,[0LB 0I 5RG],52.17,[0LB 1I 4RG],13.04,8.7,No
5,Kuzrakiihing,震地者,CN,2022-06-17 09:24:39,2m 42s,8LTZJGPkzxpF6H7f,https://classic.warcraftlogs.com/reports/8LTZJGPkzxpF6H7f?fight=42&source=4&type=healing,3324.77,156,156,910,653,6,1,1,0,1,3,10001.82,Yes,1,No,Yes,Redeemer's Alchemist Stone,Memento of Tyrande,15.34,48.19,1.45,90.86,2.73,2902.8,87.31,[0LB 1I 4RG],40.0,[0LB 0I 5RG],35.0,0.0,No
6,卿丶小蛮,安娜丝塔丽,CN,2022-08-05 10:21:37,2m 52s,zMWCmtaBV3TrJPcN,https://classic.warcraftlogs.com/reports/zMWCmtaBV3TrJPcN?fight=32&source=10&type=healing,3193.04,363,363,662,644,6,1,2,0,1,2,11324.49,Yes,2,No,Yes,Redeemer's Alchemist Stone,Darkmoon Card: Blue Dragon,18.87,45.49,1.42,18.76,0.59,3071.92,96.21,[0LB 0I 5RG],57.69,[0LB 1I 4RG],15.38,3.85,No
7,丶无梦生,范克瑞斯,CN,2022-06-30 08:47:35,2m 58s,qdaN8pwTDjM9FhtH,https://classic.warcraftlogs.com/reports/qdaN8pwTDjM9FhtH?fight=43&source=10&type=healing,3170.98,312,312,799,654,6,1,1,0,1,3,11783.75,Yes,1,Yes,Yes,Darkmoon Card: Blue Dragon,Redeemer's Alchemist Stone,24.04,145.48,4.59,0,0.0,2952.97,93.12,[0LB 0I 5RG],48.15,[0LB 1I 4RG],14.81,29.63,No
8,我开组行不行,光芒,CN,2022-07-08 10:28:32,2m 54s,7QVtg2mp1kKZhBdc,https://classic.warcraftlogs.com/reports/7QVtg2mp1kKZhBdc?fight=38&source=8&type=healing,3114.58,279,279,574,734,7,1,1,0,2,3,9260.45,Yes,2,No,Yes,The Skull of Gul'dan,Memento of Tyrande,56.42,306.05,9.83,46.57,1.5,2585.67,83.02,[0LB 0I 5RG],29.17,[0LB 2I 3RG],20.83,4.17,No
9,鶺鴒鳥,维希度斯,CN,2022-08-22 03:10:44,2m 53s,ZrVT7HCkLvDWgt39,https://classic.warcraftlogs.com/reports/ZrVT7HCkLvDWgt39?fight=31&source=37&type=healing,3090.52,369,369,748,672,6,1,1,1,1,2,11552.84,No,1,No,Yes,Glimmering Naaru Sliver,Redeemer's Alchemist Stone,65.77,440.39,14.25,65.38,2.12,2411.87,78.04,[0LB 1I 4RG],17.24,[0LB 0I 5RG],13.79,34.48,No
10,名媛范儿,碧玉矿洞,CN,2022-08-26 08:56:05,2m 53s,rwRpFxdMqX4jcHPA,https://classic.warcraftlogs.com/reports/rwRpFxdMqX4jcHPA?fight=22&source=19&type=healing,3069.82,421,421,695,684,6,1,1,1,0,3,9166.76,Yes,2,No,Yes,Memento of Tyrande,Redeemer's Alchemist Stone,37.57,188.3,6.13,13.8,0.45,2542.56,82.82,[0LB 1I 4RG],26.09,[0LB 2I 3RG],26.09,0.0,No
